n,resid,se,t,p,edge_c,net_c,net_se,net_mid_c,spread,fee_c,cell,bh_pass
2793,0.003431793770139621,0.008094067076321716,0.42398879794052463,0.6715739828950018,0.3431793770139621,-3.927318295739348,0.8097868533141805,-1.4445041174364484,4.984246330110992,1.7876834944504116,any|any|own_matches_7d>=1.0,False
1491,0.006405097250167664,0.011271563413781912,0.5682527804737411,0.5698633370331512,0.6405097250167664,-3.572769953051643,1.1283780928695024,-1.1676727028839704,4.815560026827632,1.8081824279007377,any|any|own_matches_7d>=2.0,False
683,0.009677891654465582,0.016565681921657742,0.5842132971183541,0.5590768164242754,0.9677891654465581,-3.260614934114202,1.6596602230736248,-0.8638360175695461,4.8345534407027815,1.8316251830161054,any|any|own_matches_7d>=3.0,False
292,0.017722602739726017,0.025088287483241233,0.7064094251775681,0.4799335612352569,1.7722602739726017,-2.4075342465753424,2.5139597620623855,-0.039383561643835614,4.811643835616438,1.8116438356164384,any|any|own_matches_7d>=4.0,False
3072,0.0034993489583333183,0.007603080460038342,0.46025410052226,0.6453338427408197,0.3499348958333318,-3.9505208333333335,0.7610442995732709,-1.3889973958333333,5.146484375,1.7389322916666667,any|any|own_matches_7d<=1.0,False
3880,0.0035283505154639024,0.0068186768127148295,0.5174538422006694,0.6048393823613938,0.3528350515463902,-3.92680412371134,0.682448836115944,-1.3963917525773195,5.074226804123711,1.7492268041237113,any|any|own_matches_7d<=2.0,False
4271,0.003541325216576899,0.006514976764047287,0.5435668222363587,0.5867395959887518,0.3541325216576899,-3.9241395457738233,0.652106693123015,-1.4040037461952704,5.053851557012409,1.7581362678529617,any|any|own_matches_7d<=3.0,False
4472,0.00527951699463326,0.006357328191387378,0.830461608350771,0.40627784538861245,0.527951699463326,-3.74932915921288,0.6363697607241517,-1.23412343470483,5.046064400715563,1.7620751341681575,any|any|own_matches_7d<=4.0,False
4152,0.003171965317919062,0.006622705274489089,0.478953114543326,0.6319719836279767,0.3171965317919062,-3.979287090558767,0.6627634782330034,-1.4523121387283238,5.073217726396917,1.7695086705202312,any|any|round_ordinal>=2.0,False
3968,0.00038180443548385635,0.006790717935915976,0.05622445801562455,0.9551629972984401,0.03818044354838564,-4.297631048387097,0.679558672699116,-1.7307207661290323,5.152469758064516,1.7689012096774193,any|any|round_ordinal>=4.0,False
2100,-0.008254761904761916,0.009367110146165035,-0.881249582416993,0.37818274806911223,-0.8254761904761916,-5.346666666666667,0.9362709471747156,-2.635,5.443333333333333,1.8095238095238095,any|any|round_ordinal>=5.0,False
679,-0.029153166421207667,0.017752446494205442,-1.6422055647779883,0.10054740984110766,-2.9153166421207666,-7.187039764359352,1.7759122255395865,-4.837260677466863,4.711340206185567,1.9219440353460973,any|any|round_ordinal>=6.0,False
392,0.026237244897959172,0.021430881457546166,1.2242727836432787,0.2208493403908225,2.6237244897959173,-0.7117346938775511,2.1463532952202597,0.889030612244898,3.2066326530612246,1.7346938775510203,any|any|round_ordinal<=2.0,False
2347,0.015377077119727295,0.00875393264480051,1.7565907511135204,0.07898759057739024,1.5377077119727296,-2.472092032381764,0.8768603026789522,-0.18960374946740519,4.582019599488709,1.7273114614401364,any|any|round_ordinal<=4.0,False
3768,0.010230891719745209,0.006836211241354105,1.4965733735458255,0.1345043026950128,1.0230891719745208,-3.2245222929936306,0.6842540431118549,-0.714968152866242,5.038747346072187,1.7380573248407643,any|any|round_ordinal<=5.0,False
4180,0.006265550239234438,0.006561286893262168,0.9549270350712108,0.33961459689917683,0.6265550239234438,-3.619377990430622,0.6567445500502592,-1.1272727272727272,5.0019138755980865,1.7538277511961722,any|any|round_ordinal<=6.0,False
3915,0.0063090676883780185,0.007057961862309613,0.8938937063501601,0.3713787654653542,0.6309067688378018,-3.753256704980843,0.7064494812391076,-1.2270753512132822,5.116219667943806,1.8579821200510855,any|any|open_price>=20.0,False
3159,0.008983855650522298,0.007855340622977472,1.14366213786374,0.2527637811895831,0.8983855650522298,-3.4260842038619814,0.7860508974684675,-0.9256093700538145,5.080088635644191,1.8239949351060463,any|any|open_price>=35.0,False
2328,0.02120060137457042,0.008764355611682489,2.418957230159737,0.015565070204685671,2.120060137457042,-2.151632302405498,0.876817573061545,0.3588917525773196,5.1284364261168385,1.761168384879725,any|any|open_price>=50.0,False
1410,0.021581560283687906,0.009926567816842109,2.1741210740605754,0.029696043686647577,2.158156028368791,-1.8432624113475178,0.9937733959079008,0.5524822695035461,4.9687943262411345,1.6056737588652483,any|any|open_price>=65.0,False
691,0.043140376266280714,0.010333450925196918,4.174827613598853,2.982117826721975e-05,4.314037626628071,0.9565846599131693,1.0324550435208828,3.1186685962373373,4.602026049204052,1.195369030390738,any|any|open_price>=80.0,True
675,-0.008592592592592596,0.012194175141474289,-0.7046473002809227,0.48102975487939337,-0.8592592592592596,-4.496296296296296,1.222741915775451,-2.071111111111111,4.598518518518518,1.211851851851852,any|any|open_price<=20.0,False
1426,-0.008962131837307154,0.01029423586396255,-0.8705970948928082,0.38397418325720656,-0.8962131837307155,-5.05820476858345,1.031781136280045,-2.523141654978962,4.950911640953716,1.6269284712482468,any|any|open_price<=35.0,False
2268,-0.016117724867724868,0.009018689862731051,-1.7871470372132385,0.07391372678843355,-1.6117724867724867,-5.884038800705468,0.9032318835307951,-3.377204585537919,4.938712522045855,1.7654320987654322,any|any|open_price<=50.0,False
3178,-0.0023222152297042195,0.007937569530726803,-0.29255998586403387,0.7698585027507006,-0.23222152297042195,-4.623033354310888,0.7943777210649405,-2.064820641913153,5.062932662051605,1.8325991189427313,any|any|open_price<=65.0,False
3894,-0.0023394966615305707,0.007167421806399371,-0.32640700166994097,0.7441164408071841,-0.23394966615305707,-4.668207498715973,0.7172395512841244,-2.0973292244478685,5.11864406779661,1.8633795582948125,any|any|open_price<=80.0,False
