ticker,event,tournament,entry_ts,exit_ts,entry,exit,contracts,spread,reason,gross,fees,net
KXATPCHALLENGERMATCH-26JUL21HOLJOH-JOH,KXATPCHALLENGERMATCH-26JUL21HOLJOH,Challenger,1784685780,1784685840,4.0,1.0,156,3.0,stop,-4.68,0.53,-5.21
KXWTAMATCH-26JUL22BONNOH-NOH,KXWTAMATCH-26JUL22BONNOH,WTA,1784686080,1784742480,24.0,1.0,26,1.0,stop,-5.98,0.36000000000000004,-6.340000000000001
KXATPCHALLENGERMATCH-26JUL22PIRREH-REH,KXATPCHALLENGERMATCH-26JUL22PIRREH,Challenger,1784722080,1784725680,62.0,91.0,10,1.000000000000007,target,2.9,0.23,2.67
KXATPCHALLENGERMATCH-26JUL22NEDGEN-NED,KXATPCHALLENGERMATCH-26JUL22NEDGEN,Challenger,1784723460,1784724000,36.0,1.0,17,1.0,stop,-5.949999999999999,0.30000000000000004,-6.249999999999999
KXATPCHALLENGERMATCH-26JUL22KOKWAL-WAL,KXATPCHALLENGERMATCH-26JUL22KOKWAL,Challenger,1784724480,1784755860,49.0,75.0,12,2.0,target,3.12,0.37,2.75
KXATPCHALLENGERMATCH-26JUL22NOGRIC-RIC,KXATPCHALLENGERMATCH-26JUL22NOGRIC,Challenger,1784725860,1784763000,43.0,67.0,14,2.0,target,3.36,0.47,2.8899999999999997
KXATPMATCH-26JUL22BORBUR-BUR,KXATPMATCH-26JUL22BORBUR,ATP,1784728200,1784735220,55.0,88.0,11,0.9999999999999858,target,3.6300000000000003,0.29000000000000004,3.3400000000000003
KXATPCHALLENGERMATCH-26JUL22BAXINC-INC,KXATPCHALLENGERMATCH-26JUL22BAXINC,Challenger,1784734620,1784738700,62.0,93.0,10,1.0,target,3.1,0.22000000000000003,2.88
KXATPMATCH-26JUL22MOLALT-MOL,KXATPMATCH-26JUL22MOLALT,ATP,1784735280,1784738040,61.0,93.0,10,1.0,target,3.2,0.22000000000000003,2.98
KXATPCHALLENGERMATCH-26JUL22HSUROT-ROT,KXATPCHALLENGERMATCH-26JUL22HSUROT,Challenger,1784736900,1784737740,29.000000000000004,52.0,21,1.0,target,4.829999999999999,0.6799999999999999,4.1499999999999995
KXATPCHALLENGERMATCH-26JUL22HSUROT-ROT,KXATPCHALLENGERMATCH-26JUL22HSUROT,Challenger,1784737800,1784741280,50.0,1.0,12,1.0,stop,-5.88,0.22,-6.1
KXATPMATCH-26JUL23HANBAE-HAN,KXATPMATCH-26JUL23HANBAE,ATP,1784738520,1784806620,54.0,83.0,11,1.0,target,3.19,0.31,2.88
KXATPMATCH-26JUL21TABTOR-TOR,KXATPMATCH-26JUL21TABTOR,ATP,1784738280,1784740500,25.0,42.0,25,3.0,target,4.25,0.76,3.49
KXATPCHALLENGERMATCH-26JUL22WATSAM-WAT,KXATPCHALLENGERMATCH-26JUL22WATSAM,Challenger,1784740140,1784763720,29.999999999999996,1.0,20,0.9999999999999929,stop,-5.8,0.32,-6.12
KXATPMATCH-26JUL21TABTOR-TOR,KXATPMATCH-26JUL21TABTOR,ATP,1784740560,1784741700,36.0,64.0,17,1.0,target,4.760000000000001,0.56,4.200000000000001
KXATPMATCH-26JUL23ETCBUS-ETC,KXATPMATCH-26JUL23ETCBUS,ATP,1784741340,1784810880,49.0,73.0,12,1.0,target,2.88,0.38,2.5
KXATPMATCH-26JUL21TABTOR-TOR,KXATPMATCH-26JUL21TABTOR,ATP,1784741760,1784743200,66.0,98.0,9,1.0,target,2.88,0.16999999999999998,2.71
KXATPMATCH-26JUL23NAVHAL-NAV,KXATPMATCH-26JUL23NAVHAL,ATP,1784742600,1784802900,69.0,1.0,9,2.0,stop,-6.12,0.15000000000000002,-6.2700000000000005
KXWTAMATCH-26JUL22BARTAR-TAR,KXWTAMATCH-26JUL22BARTAR,WTA,1784743320,1784802600,45.0,70.0,13,1.0,target,3.25,0.43000000000000005,2.82
KXATPCHALLENGERMATCH-26JUL23MARVIL-VIL,KXATPCHALLENGERMATCH-26JUL23MARVIL,Challenger,1784755920,1784803800,47.0,0.0,13,2.0,settlement,-6.109999999999999,0.23,-6.34
KXATPCHALLENGERMATCH-26JUL22NOGRIC-RIC,KXATPCHALLENGERMATCH-26JUL22NOGRIC,Challenger,1784763060,1784768340,73.0,1.0,8,1.0,stop,-5.76,0.13,-5.89
KXATPCHALLENGERMATCH-26JUL22WATSAM-WAT,KXATPCHALLENGERMATCH-26JUL22WATSAM,Challenger,1784763780,1784763840,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL22WATSAM-WAT,KXATPCHALLENGERMATCH-26JUL22WATSAM,Challenger,1784763900,1784763960,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL22WATSAM-WAT,KXATPCHALLENGERMATCH-26JUL22WATSAM,Challenger,1784764020,1784764080,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL22WATSAM-WAT,KXATPCHALLENGERMATCH-26JUL22WATSAM,Challenger,1784764200,1784764260,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL22WATSAM-WAT,KXATPCHALLENGERMATCH-26JUL22WATSAM,Challenger,1784764320,1784764380,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL22WATSAM-WAT,KXATPCHALLENGERMATCH-26JUL22WATSAM,Challenger,1784764440,1784764500,4.0,1.0,156,1.0,stop,-4.68,0.53,-5.21
KXATPCHALLENGERMATCH-26JUL22WATSAM-WAT,KXATPCHALLENGERMATCH-26JUL22WATSAM,Challenger,1784764560,1784764680,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL23ALCDIE-DIE,KXATPCHALLENGERMATCH-26JUL23ALCDIE,Challenger,1784764860,1784803620,57.99999999999999,94.0,10,1.0,target,3.600000000000001,0.22,3.380000000000001
KXATPCHALLENGERMATCH-26JUL22NOGRIC-RIC,KXATPCHALLENGERMATCH-26JUL22NOGRIC,Challenger,1784768400,1784768400,3.0,0.0,208,2.0,settlement,-6.24,0.43,-6.67
KXWTAMATCH-26JUL22TIMBEJ-TIM,KXWTAMATCH-26JUL22TIMBEJ,WTA,1784768520,1784820900,43.0,1.0,14,2.0,stop,-5.88,0.26,-6.14
KXATPCHALLENGERMATCH-26JUL23DEDJUS-JUS,KXATPCHALLENGERMATCH-26JUL23DEDJUS,Challenger,1784802660,1784803200,6.0,10.0,104,1.0,target,4.16,1.08,3.08
KXATPCHALLENGERMATCH-26JUL23EREPAL-PAL,KXATPCHALLENGERMATCH-26JUL23EREPAL,Challenger,1784802960,1784804460,49.0,80.0,12,1.0,target,3.7199999999999998,0.35,3.3699999999999997
KXATPCHALLENGERMATCH-26JUL23DEDJUS-JUS,KXATPCHALLENGERMATCH-26JUL23DEDJUS,Challenger,1784803260,1784803620,11.0,0.0,56,1.0,settlement,-6.16,0.39,-6.55
KXATPCHALLENGERMATCH-26JUL23WOLWON-WON,KXATPCHALLENGERMATCH-26JUL23WOLWON,Challenger,1784803680,1784839620,57.99999999999999,0.0,10,0.9999999999999858,settlement,-5.8,0.18,-5.9799999999999995
KXWTAMATCH-26JUL22BARTAR-TAR,KXWTAMATCH-26JUL22BARTAR,WTA,1784803680,1784806620,62.0,1.0,10,1.0,stop,-6.1,0.18000000000000002,-6.279999999999999
KXATPCHALLENGERMATCH-26JUL23SQURON-SQU,KXATPCHALLENGERMATCH-26JUL23SQURON,Challenger,1784803860,1784814960,68.0,98.0,9,1.0,target,2.6999999999999997,0.16,2.5399999999999996
KXATPCHALLENGERMATCH-26JUL23GOJSUR-SUR,KXATPCHALLENGERMATCH-26JUL23GOJSUR,Challenger,1784804520,1784831400,35.0,55.0,17,2.0,target,3.4000000000000004,0.5800000000000001,2.8200000000000003
KXATPMATCH-26JUL22VANCAR-VAN,KXATPMATCH-26JUL22VANCAR,ATP,1784806500,1784812380,58.99999999999999,94.0,10,2.0,target,3.500000000000001,0.21000000000000002,3.290000000000001
KXWTAMATCH-26JUL22BARTAR-TAR,KXWTAMATCH-26JUL22BARTAR,WTA,1784806680,1784806980,5.0,5.0,125,2.0,target,0.0,0.84,-0.84
KXWTAMATCH-26JUL23OLIROM-ROM,KXWTAMATCH-26JUL23OLIROM,WTA,1784806680,1784813940,35.0,1.0,17,1.0,stop,-5.78,0.30000000000000004,-6.08
KXATPCHALLENGERMATCH-26JUL23EREPAL-PAL,KXATPCHALLENGERMATCH-26JUL23EREPAL,Challenger,1784807040,1784807640,56.00000000000001,86.0,11,1.000000000000007,target,3.2999999999999994,0.29000000000000004,3.0099999999999993
KXATPMATCH-26JUL24BURBLO-BUR,KXATPMATCH-26JUL24BURBLO,ATP,1784807760,1784917560,46.0,0.0,13,2.0,settlement,-5.98,0.23,-6.210000000000001
KXATPMATCH-26JUL23BUBMOL-MOL,KXATPMATCH-26JUL23BUBMOL,ATP,1784810940,1784821140,42.0,1.0,14,1.0,stop,-5.739999999999999,0.25,-5.989999999999999
KXATPCHALLENGERMATCH-26JUL23KUZVIR-VIR,KXATPCHALLENGERMATCH-26JUL23KUZVIR,Challenger,1784812440,1784819700,67.0,98.0,9,1.0,target,2.79,0.16,2.63
KXWTAMATCH-26JUL23AVAPUT-PUT,KXWTAMATCH-26JUL23AVAPUT,WTA,1784814000,1784828220,65.0,1.0,9,1.0,stop,-5.76,0.16,-5.92
