ticker,event,tier,market_result,value,yes_ct,no_ct,yes_cost,no_cost,fee,revenue,payout,cost,pnl,t_settled,f_yes_buy,f_sell,f_no_buy,f_yes_cost,f_no_cost,f_fee,t_first,t_last,n_fills,n_buy_fills,klass,match_date,t_entry,entry_px,n_buy_orders,gross_contracts
KXATPMATCH-26JUL25BLODAR-BLO,KXATPMATCH-26JUL25BLODAR,ATP,yes,100.0,11.11,0.0,1.8887,0.0,0.1098,1111.0,11.11,1.8887,9.1115,2026-07-25 21:46:56.276941+00:00,11.11,0.0,0.0,1.8887,0.0,0.1098,2026-07-25 21:03:26.612394+00:00,2026-07-25 21:03:26.612394+00:00,1,1,manual,2026-07-25,2026-07-25 21:03:26.612394+00:00,99.0,1,11.11
KXATPMATCH-26JUL25BLODAR-DAR,KXATPMATCH-26JUL25BLODAR,ATP,no,0.0,91.12,91.12,63.784,18.224,2.3602,0.0,91.12,82.008,6.751800000000009,2026-07-25 21:46:56.278243+00:00,91.12,91.12,0.0,63.78399999999999,18.224,2.3602,2026-07-25 20:37:31.811537+00:00,2026-07-25 20:55:44.605396+00:00,4,3,manual,2026-07-25,2026-07-25 20:37:31.811537+00:00,99.0,1,91.12
KXATPMATCH-26JUL25BOYCLA-CLA,KXATPMATCH-26JUL25BOYCLA,ATP,no,0.0,212.77,134.28,28.3649,110.1096,3.0211,0.0,134.28,138.4745,-7.215600000000006,2026-07-26 05:52:16.028607+00:00,212.76999999999998,134.28,0.0,28.3649,110.1096,3.0211,2026-07-26 04:33:50.446268+00:00,2026-07-26 05:23:34.923026+00:00,7,6,manual,2026-07-25,2026-07-26 04:33:50.446268+00:00,99.0,3,212.77
KXATPMATCH-26JUL25HEWLAJ-HEW,KXATPMATCH-26JUL25HEWLAJ,ATP,yes,100.0,43.3,66.18,23.815,17.4036,1.2523,0.0,43.3,41.2186,0.8290999999999951,2026-07-25 18:52:06.009723+00:00,43.3,43.3,22.88,23.815,7.794,1.2523,2026-07-25 18:35:14.762077+00:00,2026-07-25 18:48:03.356501+00:00,3,1,manual,2026-07-25,2026-07-25 18:35:14.762077+00:00,99.0,2,43.3
KXATPMATCH-26JUL25KWONRUB-KWON,KXATPMATCH-26JUL25KWONRUB,ATP,yes,100.0,30.45,30.45,24.6645,2.436,0.485,0.0,30.45,27.1005,2.864499999999999,2026-07-26 05:27:36.026216+00:00,30.45,30.45,0.0,24.6645,2.436,0.485,2026-07-26 04:57:23.790210+00:00,2026-07-26 05:17:18.447958+00:00,2,1,manual,2026-07-25,2026-07-26 04:57:23.790210+00:00,99.0,1,30.45
KXATPMATCH-26JUL25KWONRUB-RUB,KXATPMATCH-26JUL25KWONRUB,ATP,no,0.0,62.42,62.42,1.8726,59.299,0.3348,0.0,62.42,61.1716,0.9136000000000037,2026-07-26 05:27:36.026216+00:00,62.42,62.42,0.0,1.8726,59.299,0.3348,2026-07-26 04:20:19.174160+00:00,2026-07-26 04:37:51.960450+00:00,2,1,manual,2026-07-25,2026-07-26 04:20:19.174160+00:00,99.0,1,62.42
KXATPMATCH-26JUL25MAGJOH-JOH,KXATPMATCH-26JUL25MAGJOH,ATP,no,0.0,32.76,0.0,24.57,0.0,0.4301,0.0,0.0,24.57,-25.0001,2026-07-26 02:42:06.025675+00:00,32.76,0.0,0.0,24.57,0.0,0.43010000000000004,2026-07-26 01:48:02.867309+00:00,2026-07-26 01:48:02.867309+00:00,2,2,manual,2026-07-25,2026-07-26 01:48:02.867309+00:00,75.0,1,32.76
KXATPMATCH-26JUL25MEJHER-HER,KXATPMATCH-26JUL25MEJHER,ATP,yes,100.0,31.56,31.56,23.3544,1.2624,0.51,0.0,31.56,24.616799999999998,6.433200000000001,2026-07-26 04:52:06.085618+00:00,31.56,31.56,0.0,23.3544,1.2624,0.51,2026-07-26 04:23:23.414215+00:00,2026-07-26 04:43:11.594077+00:00,2,1,manual,2026-07-25,2026-07-26 04:23:23.414215+00:00,99.0,1,31.56
KXATPMATCH-26JUL25OCOMAR-OCO,KXATPMATCH-26JUL25OCOMAR,ATP,no,0.0,6.15,0.0,1.2915,0.0,0.0715,0.0,0.0,1.2915,-1.363,2026-07-25 21:52:16.066342+00:00,6.15,0.0,0.0,1.2915,0.0,0.0715,2026-07-25 21:31:12.060441+00:00,2026-07-25 21:31:12.060441+00:00,1,1,bot,2026-07-25,2026-07-25 21:31:12.060441+00:00,99.0,1,6.15
KXATPMATCH-26JUL25SHEHAR-SHE,KXATPMATCH-26JUL25SHEHAR,ATP,yes,100.0,34.97,0.0,24.479,0.0,0.5141,3497.0,34.97,24.479,9.9769,2026-07-25 18:22:15.966245+00:00,34.97,0.0,0.0,24.479,0.0,0.5141,2026-07-25 18:13:45.735815+00:00,2026-07-25 18:13:45.735815+00:00,1,1,manual,2026-07-25,2026-07-25 18:13:45.735815+00:00,99.0,1,34.97
KXATPMATCH-26JUL25SVAYME-SVA,KXATPMATCH-26JUL25SVAYME,ATP,yes,100.0,70.29,70.29,54.1233,0.7029,0.8836,0.0,70.29,54.8262,14.580200000000007,2026-07-25 20:42:06.012914+00:00,70.29,70.29,0.0,54.12330000000001,0.7029000000000001,0.8835999999999999,2026-07-25 19:46:19.675692+00:00,2026-07-25 20:36:05.808361+00:00,2,1,manual,2026-07-25,2026-07-25 19:46:19.675692+00:00,99.0,1,70.29
KXATPMATCH-26JUL25VANGAS-VAN,KXATPMATCH-26JUL25VANGAS,ATP,yes,100.0,35.55,35.55,24.4595,3.555,0.7582,0.0,35.55,28.014499999999998,6.7772999999999985,2026-07-25 18:42:06.025440+00:00,35.55,35.55,0.0,24.4595,3.5549999999999997,0.7582,2026-07-25 17:12:43.258817+00:00,2026-07-25 17:55:07.610298+00:00,4,3,manual,2026-07-25,2026-07-25 17:12:43.258817+00:00,69.0,1,35.55
KXATPMATCH-26JUL26DAMSHE-DAM,KXATPMATCH-26JUL26DAMSHE,ATP,yes,100.0,41.89,41.89,19.2694,12.9859,0.8853,0.0,41.89,32.255300000000005,8.749399999999994,2026-07-26 16:32:26.026320+00:00,41.89,41.89,0.0,19.2694,12.9859,0.8853000000000001,2026-07-26 15:15:41.226464+00:00,2026-07-26 15:36:05.310624+00:00,2,1,manual,2026-07-26,2026-07-26 15:15:41.226464+00:00,99.0,1,41.89
KXATPMATCH-26JUL26DAMSHE-SHE,KXATPMATCH-26JUL26DAMSHE,ATP,no,0.0,97.72,40.53,47.9658,5.2689,1.9495,0.0,40.53,53.234700000000004,-14.654200000000003,2026-07-26 16:32:26.025572+00:00,97.72,40.53,0.0,47.965799999999994,5.2689,1.9495,2026-07-26 15:00:56.759142+00:00,2026-07-26 15:38:34.907753+00:00,8,7,manual,2026-07-26,2026-07-26 15:00:56.759142+00:00,99.0,3,97.72
KXATPMATCH-26JUL26GIRILA-GIR,KXATPMATCH-26JUL26GIRILA,ATP,yes,100.0,19.41,19.41,14.7516,1.941,0.3702,0.0,19.41,16.6926,2.3472000000000013,2026-07-26 18:32:26.017893+00:00,19.41,19.41,0.0,14.7516,1.941,0.3702,2026-07-26 18:03:09.466806+00:00,2026-07-26 18:13:08.067771+00:00,3,2,manual,2026-07-26,2026-07-26 18:03:09.466806+00:00,99.0,1,19.41
KXATPMATCH-26JUL26GIRILA-ILA,KXATPMATCH-26JUL26GIRILA,ATP,no,0.0,105.07,105.07,18.9126,77.7518,1.4395,0.0,105.07,96.6644,6.966099999999993,2026-07-26 18:32:26.017893+00:00,105.07,105.07,0.0,18.912599999999998,77.7518,1.4394999999999998,2026-07-26 16:49:46.946217+00:00,2026-07-26 18:01:11.631068+00:00,4,1,manual,2026-07-26,2026-07-26 16:49:46.946217+00:00,99.0,1,105.07
KXATPMATCH-26JUL26MARECH-MAR,KXATPMATCH-26JUL26MARECH,ATP,yes,100.0,57.63,0.0,49.5051,0.0,0.485,5763.0,57.63,49.5051,7.6399000000000035,2026-07-26 18:07:16.016694+00:00,57.63,0.0,0.0,49.5051,0.0,0.485,2026-07-26 16:50:16.272935+00:00,2026-07-26 17:24:27.616087+00:00,2,2,manual,2026-07-26,2026-07-26 16:50:16.272935+00:00,99.0,2,57.63
