ticker,pnl,cost,fee,contracts,klass,tier,event,t_entry,entry_c,n_buys
KXITFMATCH-26JUL28DHOREC-REC,-3.435199999999999,11.2,0.2352,8.0,bot,ITF-M,KXITFMATCH-26JUL28DHOREC,2026-07-28 15:55:34.605435+00:00,70.0,1
KXITFMATCH-26JUL28DUSFIL-FIL,-2.9352999999999994,11.649999999999999,0.28529999999999994,9.0,bot,ITF-M,KXITFMATCH-26JUL28DUSFIL,2026-07-28 19:33:16.516757+00:00,68.0,1
KXITFMATCH-26JUL28FONORT-FON,1.9200000000000004,6.08,0.0,8.0,bot,ITF-M,KXITFMATCH-26JUL28FONORT,2026-07-28 17:04:13.130332+00:00,71.0,1
KXITFMATCH-26JUL28FRYCOQ-FRY,-2.921700000000001,14.760000000000002,0.1617,12.0,bot,ITF-M,KXITFMATCH-26JUL28FRYCOQ,2026-07-28 12:53:03.818780+00:00,49.0,1
KXITFMATCH-26JUL28FUNSHA-FUN,1.330699999999999,31.96,0.7093,34.0,bot,ITF-M,KXITFMATCH-26JUL28FUNSHA,2026-07-28 12:52:46.569729+00:00,46.0,2
KXITFMATCH-26JUL28HUDPED-PED,0.6816000000000009,21.79,0.5284,23.0,bot,ITF-M,KXITFMATCH-26JUL28HUDPED,2026-07-28 10:28:31.671383+00:00,68.0,2
KXITFMATCH-26JUL28HUELEI-LEI,-2.6723999999999988,11.52,0.1524,9.0,bot,ITF-M,KXITFMATCH-26JUL28HUELEI,2026-07-28 19:56:09.533793+00:00,69.0,1
KXITFMATCH-26JUL28IANTAB-IAN,-2.1840999999999995,10.89,0.2941,9.0,bot,ITF-M,KXITFMATCH-26JUL28IANTAB,2026-07-28 10:38:40.933204+00:00,68.0,1
KXITFMATCH-26JUL28KAMHOH-HOH,3.5385000000000004,10.219999999999999,0.2415,14.0,bot,ITF-M,KXITFMATCH-26JUL28KAMHOH,2026-07-28 10:09:13.392865+00:00,44.0,1
KXITFMATCH-26JUL28LESMEN-MEN,-2.8984000000000005,11.61,0.2884,9.0,bot,ITF-M,KXITFMATCH-26JUL28LESMEN,2026-07-28 17:25:39.176756+00:00,63.0,1
KXITFMATCH-26JUL28MASWRI-MAS,,,,,bot,ITF-M,KXITFMATCH-26JUL28MASWRI,2026-07-28 09:34:02.452534+00:00,69.0,1
KXITFMATCH-26JUL28MAZEDE-EDE,-3.0044000000000013,20.52,0.4844,18.0,bot,ITF-M,KXITFMATCH-26JUL28MAZEDE,2026-07-28 17:04:11.722069+00:00,34.0,1
KXITFMATCH-26JUL28MECORL-ORL,1.7600000000000002,6.24,0.0,8.0,bot,ITF-M,KXITFMATCH-26JUL28MECORL,2026-07-28 17:55:30.264375+00:00,73.0,1
KXITFMATCH-26JUL28MUNLEC-LEC,-1.5417000000000003,9.280000000000001,0.2617,8.0,bot,ITF-M,KXITFMATCH-26JUL28MUNLEC,2026-07-28 13:13:09.466478+00:00,74.0,1
KXITFMATCH-26JUL28NAGBRA-NAG,1.8046000000000004,6.08,0.1154,8.0,bot,ITF-M,KXITFMATCH-26JUL28NAGBRA,2026-07-28 18:30:07.777175+00:00,74.0,2
KXITFMATCH-26JUL28OBELIS-LIS,3.2181,7.59,0.1919,11.0,bot,ITF-M,KXITFMATCH-26JUL28OBELIS,2026-07-28 10:59:40.577126+00:00,53.0,1
KXITFMATCH-26JUL28OLIVER-VER,-6.0,6.0,0.0,10.0,bot,ITF-M,KXITFMATCH-26JUL28OLIVER,2026-07-28 20:03:53.355129+00:00,60.0,1
KXITFMATCH-26JUL28OSOCHA-OSO,1.5722,6.32,0.1078,8.0,bot,ITF-M,KXITFMATCH-26JUL28OSOCHA,2026-07-28 18:50:30.537379+00:00,74.0,1
KXITFMATCH-26JUL28PERMOL-PER,-2.9214000000000007,12.600000000000001,0.3214,10.0,bot,ITF-M,KXITFMATCH-26JUL28PERMOL,2026-07-28 10:09:14.506762+00:00,57.0,1
KXITFMATCH-26JUL28PERZAH-ZAH,3.0048000000000004,5.85,0.1452,9.0,bot,ITF-M,KXITFMATCH-26JUL28PERZAH,2026-07-28 15:55:33.502032+00:00,67.0,1
KXITFMATCH-26JUL28PLUPLA-PLU,3.2186999999999997,7.59,0.1913,11.0,bot,ITF-M,KXITFMATCH-26JUL28PLUPLA,2026-07-28 15:32:55.664458+00:00,54.0,1
KXITFMATCH-26JUL28ROUSTR-STR,2.4299999999999997,6.57,0.0,9.0,bot,ITF-M,KXITFMATCH-26JUL28ROUSTR,2026-07-28 16:01:11.707455+00:00,68.0,1
KXITFMATCH-26JUL28SALFAB-FAB,3.6738999999999993,9.100000000000001,0.2261,13.0,bot,ITF-M,KXITFMATCH-26JUL28SALFAB,2026-07-28 15:32:54.554187+00:00,48.0,1
KXITFMATCH-26JUL28SARTOF-SAR,-2.9214000000000007,12.600000000000001,0.3214,10.0,bot,ITF-M,KXITFMATCH-26JUL28SARTOF,2026-07-28 10:45:29.821826+00:00,57.0,1
KXITFMATCH-26JUL28SCRALB-ALB,,,,,bot,ITF-M,KXITFMATCH-26JUL28SCRALB,2026-07-28 15:32:56.620814+00:00,70.0,1
KXITFMATCH-26JUL28STOBAE-STO,-3.3561,11.120000000000001,0.2361,8.0,bot,ITF-M,KXITFMATCH-26JUL28STOBAE,2026-07-28 19:01:31.236599+00:00,73.0,1
KXITFMATCH-26JUL28TABSPI-SPI,-7.7508,35.32,0.4308,28.0,bot,ITF-M,KXITFMATCH-26JUL28TABSPI,2026-07-28 14:02:11.119047+00:00,62.0,2
KXITFMATCH-26JUL28VANMAT-VAN,2.7331,6.12,0.1469,9.0,bot,ITF-M,KXITFMATCH-26JUL28VANMAT,2026-07-28 09:59:39.813200+00:00,63.0,1
KXITFMATCH-26JUL28WEIRIS-RIS,4.148200000000001,36.04,0.8118,41.0,bot,ITF-M,KXITFMATCH-26JUL28WEIRIS,2026-07-28 13:32:08.765254+00:00,40.0,3
KXITFWMATCH-26JUL25BUCMAL-BUC,9.189800000000004,61.629200000000004,1.331,72.15,manual,ITF-W,KXITFWMATCH-26JUL25BUCMAL,2026-07-25 18:56:39.245443+00:00,99.0,2
KXITFWMATCH-26JUL25BUCMAL-MAL,-4.463600000000001,31.5957,0.7979,27.93,manual,ITF-W,KXITFWMATCH-26JUL25BUCMAL,2026-07-25 19:05:14.826071+00:00,99.0,2
KXITFWMATCH-26JUL25LUXCHA-CHA,6.977200000000001,4.6254,0.2574,11.86,manual,ITF-W,KXITFWMATCH-26JUL25LUXCHA,2026-07-25 21:54:36.721603+00:00,99.0,1
KXITFWMATCH-26JUL25LUXCHA-LUX,-0.9,0.846,0.054,9.4,manual,ITF-W,KXITFWMATCH-26JUL25LUXCHA,2026-07-25 22:18:21.600910+00:00,99.0,1
KXITFWMATCH-26JUL26MPECHL-MPE,-0.01399999999999868,34.2536,0.7604,15.24,manual,ITF-W,KXITFWMATCH-26JUL26MPECHL,2026-07-26 13:58:38.769807+00:00,99.0,2
KXITFWMATCH-26JUL27ADASYM-ADA,-2.7194999999999996,11.43,0.2895,9.0,bot,ITF-W,KXITFWMATCH-26JUL27ADASYM,2026-07-28 02:57:27.219998+00:00,68.0,1
KXITFWMATCH-26JUL27PAUTRA-PAU,2.6529,6.21,0.1371,9.0,bot,ITF-W,KXITFWMATCH-26JUL27PAUTRA,2026-07-27 09:37:14.887273+00:00,68.0,1
KXITFWMATCH-26JUL28AGUHAR-AGU,-6.1429,25.5,0.6428999999999999,20.0,bot,ITF-W,KXITFWMATCH-26JUL28AGUHAR,2026-07-28 17:54:14.103800+00:00,59.0,2
KXITFWMATCH-26JUL28ANGCRO-CRO,,,,,bot,ITF-W,KXITFWMATCH-26JUL28ANGCRO,2026-07-28 18:34:34.026926+00:00,66.0,1
KXITFWMATCH-26JUL28BORNAJ-NAJ,3.4,6.6,0.0,10.0,bot,ITF-W,KXITFWMATCH-26JUL28BORNAJ,2026-07-28 12:52:47.578655+00:00,60.0,1
KXITFWMATCH-26JUL28BRODES-BRO,-3.0193,11.879999999999999,0.1393,9.0,bot,ITF-W,KXITFWMATCH-26JUL28BRODES,2026-07-28 17:05:25.305832+00:00,68.0,1
KXITFWMATCH-26JUL28CEXSHA-SHA,1.2914999999999983,39.92,0.7885,42.0,bot,ITF-W,KXITFWMATCH-26JUL28CEXSHA,2026-07-28 13:19:15.172110+00:00,38.0,2
KXITFWMATCH-26JUL28COLKOI-COL,2.5652000000000004,6.3,0.1348,9.0,bot,ITF-W,KXITFWMATCH-26JUL28COLKOI,2026-07-28 18:58:09.549167+00:00,69.0,1
KXITFWMATCH-26JUL28DIGMIK-MIK,-3.2769,11.04,0.2369,8.0,bot,ITF-W,KXITFWMATCH-26JUL28DIGMIK,2026-07-28 17:58:39.060523+00:00,74.0,1
