event,tier,t_entry,pnl,cost,fee,contracts,n_tickers,n_buys,entry_c,klass,hr,utc_hour,et_hour,block,day
KXITFMATCH-26JUL28VANMAT,ITF-M,2026-07-28 09:59:39.813200+00:00,2.7331,6.12,0.1469,9.0,1,1,63.0,bot,2026-07-28 09:00:00+00:00,9,5,08-11,2026-07-28
KXITFMATCH-26JUL28KAMHOH,ITF-M,2026-07-28 10:09:13.392865+00:00,3.5385000000000004,10.219999999999999,0.2415,14.0,1,1,44.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXITFMATCH-26JUL28PERMOL,ITF-M,2026-07-28 10:09:14.506762+00:00,-2.9214000000000007,12.600000000000001,0.3214,10.0,1,1,57.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXATPCHALLENGERMATCH-26JUL28VRBBAS,Challenger,2026-07-28 10:17:32.209858+00:00,1.8824000000000005,6.0,0.1176,8.0,1,1,70.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXITFMATCH-26JUL28HUDPED,ITF-M,2026-07-28 10:28:31.671383+00:00,0.6816000000000009,21.79,0.5284,23.0,1,2,68.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXITFMATCH-26JUL28IANTAB,ITF-M,2026-07-28 10:38:40.933204+00:00,-2.1840999999999995,10.89,0.2941,9.0,1,1,68.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXITFMATCH-26JUL28SARTOF,ITF-M,2026-07-28 10:45:29.821826+00:00,-2.9214000000000007,12.600000000000001,0.3214,10.0,1,1,57.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXITFWMATCH-26JUL28SRAWIR,ITF-W,2026-07-28 10:45:31.009125+00:00,1.8046000000000004,6.08,0.1154,8.0,1,1,74.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXITFWMATCH-26JUL28ZAAFRI,ITF-W,2026-07-28 10:46:09.524355+00:00,3.235,6.6000000000000005,0.165,10.0,1,1,62.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXITFMATCH-26JUL28BELKAR,ITF-M,2026-07-28 10:50:52.723052+00:00,2.8286,6.03,0.1414,9.0,1,1,66.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXITFWMATCH-26JUL28PLOFER,ITF-W,2026-07-28 10:53:09.638191+00:00,-2.2253000000000003,11.07,0.1553,9.0,1,2,67.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXITFMATCH-26JUL28OBELIS,ITF-M,2026-07-28 10:59:40.577126+00:00,3.2181,7.59,0.1919,11.0,1,1,53.0,bot,2026-07-28 10:00:00+00:00,10,6,08-11,2026-07-28
KXITFMATCH-26JUL28FUNSHA,ITF-M,2026-07-28 12:52:46.569729+00:00,1.330699999999999,31.96,0.7093,34.0,1,2,46.0,bot,2026-07-28 12:00:00+00:00,12,8,12-15,2026-07-28
KXITFWMATCH-26JUL28BORNAJ,ITF-W,2026-07-28 12:52:47.578655+00:00,3.4,6.6,0.0,10.0,1,1,60.0,bot,2026-07-28 12:00:00+00:00,12,8,12-15,2026-07-28
