event,tier,match_date,t_entry,t_settled,pnl,fee,cost,contracts,n_tickers,n_buy_orders,entry_px,klass
KXATPCHALLENGERMATCH-26JUL26ZHUSHE,Challenger,2026-07-26,2026-07-27 23:39:06.139843+00:00,2026-07-28 01:02:56.022764+00:00,1.0878999999999999,0.5021,19.41,21.0,1,2,69.0,bot
KXWTAMATCH-26JUL27KRUBOU,WTA,2026-07-27,2026-07-28 00:48:14.529559+00:00,2026-07-28 01:57:06.250582+00:00,1.1534,0.5066,23.34,25.0,1,2,69.0,bot
KXWTAMATCH-26JUL27SIEPRO,WTA,2026-07-27,2026-07-28 00:53:04.784147+00:00,2026-07-28 01:52:16.333581+00:00,-2.8098999999999994,0.2899,11.52,9.0,1,1,66.0,bot
KXITFMATCH-26JUL27CAMATK,ITF-M,2026-07-27,2026-07-28 02:50:40.290139+00:00,2026-07-28 03:59:56.013351+00:00,3.2700000000000005,0.21,8.52,12.0,1,1,50.0,bot
KXITFWMATCH-26JUL27ADASYM,ITF-W,2026-07-27,2026-07-28 02:57:27.219998+00:00,2026-07-28 03:50:36.018048+00:00,-2.7194999999999996,0.2895,11.43,9.0,1,1,68.0,bot
KXATPCHALLENGERMATCH-26JUL26CHUBOU,Challenger,2026-07-26,2026-07-28 03:09:30.386630+00:00,2026-07-28 04:03:06.075424+00:00,3.4128000000000007,0.2272,9.36,13.0,1,1,48.0,bot
KXATPCHALLENGERMATCH-26JUL28KASFER,Challenger,2026-07-28,2026-07-28 09:00:41.918111+00:00,2026-07-28 10:42:46.010685+00:00,0.5203000000000003,0.5497,23.93,25.0,1,2,66.0,bot
KXATPCHALLENGERMATCH-26JUL28KRUHEN,Challenger,2026-07-28,2026-07-28 09:00:43.116640+00:00,2026-07-28 10:32:46.009972+00:00,-1.8358999999999994,0.3059,10.53,9.0,1,1,68.0,bot
KXATPCHALLENGERMATCH-26JUL28KIRINC,Challenger,2026-07-28,2026-07-28 09:06:15.214308+00:00,2026-07-28 09:37:46.008485+00:00,1.6495999999999997,0.1104,6.24,8.0,1,1,74.0,bot
KXATPCHALLENGERMATCH-26JUL28RIBTOR,Challenger,2026-07-28,2026-07-28 09:23:32.812297+00:00,2026-07-28 10:57:36.014908+00:00,-2.9270999999999994,0.1371,11.79,9.0,1,1,68.0,bot
KXATPCHALLENGERMATCH-26JUL28NIKBAR,Challenger,2026-07-28,2026-07-28 09:26:09.510031+00:00,2026-07-28 11:02:56.015572+00:00,-3.073999999999999,0.284,11.79,9.0,1,1,64.0,bot
KXATPCHALLENGERMATCH-26JUL28HOUCAR,Challenger,2026-07-28,2026-07-28 09:33:39.349756+00:00,2026-07-28 10:42:46.011884+00:00,2.9166000000000003,0.1434,5.9399999999999995,9.0,1,1,65.0,bot
KXATPCHALLENGERMATCH-26JUL28SKAFAU,Challenger,2026-07-28,2026-07-28 09:56:08.495869+00:00,2026-07-28 10:57:36.015886+00:00,2.6529,0.1371,6.21,9.0,1,1,68.0,bot
KXITFMATCH-26JUL28VANMAT,ITF-M,2026-07-28,2026-07-28 09:59:39.813200+00:00,2026-07-28 10:49:06.005881+00:00,2.7331,0.1469,6.12,9.0,1,1,63.0,bot
KXITFMATCH-26JUL28KAMHOH,ITF-M,2026-07-28,2026-07-28 10:09:13.392865+00:00,2026-07-28 10:19:26.007686+00:00,3.5385000000000013,0.2415,10.219999999999999,14.0,1,1,44.0,bot
KXITFMATCH-26JUL28PERMOL,ITF-M,2026-07-28,2026-07-28 10:09:14.506762+00:00,2026-07-28 11:04:15.957363+00:00,-2.9214000000000016,0.3214,12.600000000000001,10.0,1,1,57.0,bot
KXATPCHALLENGERMATCH-26JUL28VRBBAS,Challenger,2026-07-28,2026-07-28 10:17:32.209858+00:00,2026-07-28 11:12:25.961766+00:00,1.8824,0.1176,6.0,8.0,1,1,70.0,bot
