series,category,frequency,fee_type,n_open_markets,n_settled_downloaded,median_spread_cents,median_price,quoted_fraction,median_volume,markets_per_event,strike_types,breakeven_edge_cents,d1_ground_truth,d2_cost_bar,d3_liquidity,d4_structural,d5_recurrence,d6_counterparty,d7_settlement,d8_data_cost,total_score,killed,kill_reasons
KXSG,Financials,one_off,quadratic,8,0,6.0,0.79,0.875,10781.5,8.0,greater,8.34,1,1,3,3,0,,3,5,16,False,
KXSHAI20PTREC,Sports,one_off,quadratic,7,0,8.0,0.37,1.0,351.2,7.0,greater_or_equal,11.28,1,1,3,3,0,,3,5,16,False,
KXSNOWFLAKE,Financials,one_off,quadratic,16,0,5.0,0.58,0.688,175.1,16.0,greater,8.42,1,1,2,4,0,,3,5,16,False,
KXSONGRELEASE,Unknown,,quadratic,35,0,7.0,0.91,1.0,302.7,35.0,custom,8.16,1,1,4,2,0,,3,5,16,False,
KXSONGRELEASEDATE,Unknown,,quadratic,3,0,1.0,0.885,1.0,3308.6,1.5,structured,2.44,1,4,3,0,0,,3,5,16,False,
KXSP500REMOVEQ,Financials,one_off,quadratic,12,0,5.0,0.05,0.917,210.0,12.0,custom,5.68,1,2,3,2,0,,3,5,16,False,
KXSPOTA,Companies,one_off,quadratic,24,0,6.0,0.325,1.0,774.9,8.0,greater,9.08,0,1,4,3,0,,3,5,16,False,
KXSTARSHIPSPACE,Science and Technology,custom,quadratic,20,0,5.0,0.1075,0.8,538.1,10.0,"greater,less",6.36,0,2,2,4,0,,3,5,16,False,
KXSUPERBOWLWHITEHOUSE,Sports,one_off,quadratic,1,0,1.0,0.335,1.0,592665.5,1.0,,4.12,1,3,4,0,0,,3,5,16,False,
KXTBCOUNT,Science and Technology,one_off,quadratic,5,0,5.0,0.78,1.0,2010.3,5.0,greater,7.42,0,2,3,3,0,,3,5,16,False,
KXTBCRUNCHWRAP,Economics,monthly,quadratic,8,0,4.5,0.5275,1.0,5370.8,8.0,greater_or_equal,8.0,1,1,3,3,0,,3,5,16,False,
KXTESLACAR,Financials,one_off,quadratic,1,0,4.0,0.05,1.0,25346.9,1.0,,4.68,1,3,4,0,0,,3,5,16,False,
KXTESLAENERGYBY,Financials,custom,quadratic,4,0,7.5,0.38,1.0,8297.8,4.0,greater,10.8,1,1,3,3,0,,3,5,16,False,
KXTESLAROADSTER,Financials,one_off,quadratic,1,0,4.0,0.06,1.0,60010.2,1.0,,4.8,1,3,4,0,0,,3,5,16,False,
KXTGT,Financials,one_off,quadratic,7,0,5.0,0.335,1.0,316.5,7.0,greater,8.12,1,1,3,3,0,,3,5,16,False,
KXTLNA,Financials,one_off,quadratic,17,0,5.0,0.915,0.765,12.0,17.0,greater,6.1,1,2,1,4,0,,3,5,16,False,
KXTNPRIMARY,Unknown,,quadratic,51,0,4.0,0.07,0.804,6351.9,4.0,custom,4.92,1,3,3,1,0,,3,5,16,False,
KXTOKENLAUNCH,Crypto,one_off,quadratic,14,0,5.0,0.11,1.0,3605.0,14.0,custom,6.38,1,2,3,2,0,,3,5,16,False,
KXTOL,Financials,one_off,quadratic,6,0,6.0,0.145,0.833,1068.5,6.0,greater,7.74,1,2,2,3,0,,3,5,16,False,
KXTOPAI,Science and Technology,custom,quadratic,12,0,4.0,0.08,0.917,12453.7,12.0,,5.04,0,2,4,2,0,,3,5,16,False,
KXTOPALBUMSPOTIFY,Unknown,,quadratic,14,0,2.5,0.0525,0.429,584.3,14.0,,3.2,1,4,1,2,0,,3,5,16,False,
KXTOPALBUMSPOTIFYUSA,Unknown,,quadratic,21,0,3.5,0.08,0.19,2379.4,21.0,,4.54,1,3,2,2,0,,3,5,16,False,
KXTOPMODEL,Science and Technology,monthly,quadratic,15,0,1.0,0.0725,0.267,16098.0,7.5,custom,1.96,0,5,2,1,0,,3,5,16,False,
KXTOPPOD,Unknown,,quadratic,10,0,3.0,0.025,0.3,714.5,10.0,,3.36,1,4,1,2,0,,3,5,16,False,
KXTOPSONG,Unknown,,quadratic,43,0,3.0,0.03,0.442,100.0,21.5,custom,3.42,1,4,1,2,0,,3,5,16,False,
KXTOSTA,Financials,one_off,quadratic,8,0,6.0,0.26,1.0,1757.8,8.0,greater,8.7,1,1,3,3,0,,3,5,16,False,
KXTROPSTORM,Unknown,,quadratic,8,0,5.5,0.1725,0.75,3871.7,8.0,greater,7.5,1,2,2,3,0,,3,5,16,False,
KXTRUFTSA,Economics,monthly,quadratic,15,0,5.0,0.97,0.6,1.0,15.0,greater,5.42,1,2,1,4,0,,3,5,16,False,
KXTRUMPACT,Politics,weekly,quadratic,10,0,1.0,0.255,0.9,1382.0,10.0,greater_or_equal,3.66,0,3,2,4,0,,2,5,16,False,
KXTRUMPAGCOUNT,Politics,custom,quadratic,4,0,5.35,0.1623,1.0,4680.2,4.0,between,7.27,0,2,3,4,0,,2,5,16,False,
KXTRUMPSNL,Unknown,,quadratic,1,0,2.0,0.16,1.0,18949.5,1.0,,3.9,1,3,4,0,0,,3,5,16,False,
KXTURKEYPRES,Unknown,,quadratic,10,0,6.2,0.034,1.0,161.0,10.0,custom,6.66,1,2,3,2,0,,3,5,16,False,
KXTWITCHSUBSKAICENAT,Unknown,,quadratic,6,0,7.0,0.085,1.0,157.6,6.0,greater_or_equal,8.1,1,1,3,3,0,,3,5,16,False,
KXTWOW,Unknown,,quadratic,1,0,3.0,0.115,1.0,31805.6,1.0,,4.44,1,3,4,0,0,,3,5,16,False,
KXTXAGCOM,Unknown,,quadratic,2,0,1.0,0.5,1.0,601.2,2.0,custom,4.5,1,3,3,1,0,,3,5,16,False,
KXUALA,Companies,one_off,quadratic,7,0,5.0,0.875,1.0,3084.5,7.0,greater,6.54,0,2,3,3,0,,3,5,16,False,
KXUEL1HTOTAL,Sports,custom,quadratic,27,0,7.0,0.3625,0.963,14.7,3.0,greater,10.24,1,1,3,3,0,,3,5,16,False,
KXUELGAME,Sports,custom,quadratic,27,0,4.0,0.27,1.0,1635.8,3.0,structured,6.76,1,2,4,1,0,,3,5,16,False,
KXUFCWELTERWEIGHTTITLE,Sports,custom,quadratic,11,0,1.5,0.1475,0.364,6585.9,11.0,,3.28,1,4,1,2,0,,3,5,16,False,
KXUKBYELECTIONCOUNT,Unknown,,quadratic,5,0,5.0,0.535,1.0,340.0,5.0,greater_or_equal,8.5,1,1,3,3,0,,3,5,16,False,
KXUKCOALITION,Unknown,,quadratic,19,0,6.0,0.05,1.0,112.0,19.0,custom,6.68,1,2,3,2,0,,3,5,16,False,
KXULTA,Financials,one_off,quadratic,9,0,6.0,0.135,0.889,507.2,9.0,greater,7.64,1,2,2,3,0,,3,5,16,False,
KXUPONLY,Unknown,,quadratic,11,0,5.0,0.0425,0.909,1103.4,11.0,,5.58,1,2,3,2,0,,3,5,16,False,
KXURYPDGAME,Sports,custom,quadratic,24,0,5.0,0.26,1.0,386.5,3.0,structured,7.7,1,2,4,1,0,,3,5,16,False,
KXURYPDTOTAL,Sports,custom,quadratic,48,0,7.0,0.345,1.0,29.0,6.0,greater,10.18,1,1,3,3,0,,3,5,16,False,
KXUSADATACENTERS,Science and Technology,one_off,quadratic,6,0,5.5,0.835,1.0,1677.1,6.0,greater_or_equal,7.44,0,2,3,3,0,,3,5,16,False,
KXUSAEXPANDTERRITORY,Politics,one_off,quadratic,3,0,1.0,0.165,1.0,88343.7,3.0,,2.94,0,4,4,1,0,,2,5,16,False,
KXUSLTOTAL,Sports,custom,quadratic,36,0,7.0,0.46,1.0,14.5,6.0,greater,10.48,1,1,3,3,0,,3,5,16,False,
KXUST10A,Financials,daily,quadratic,15,0,5.5,0.9625,0.267,335.5,15.0,greater,6.02,1,2,1,4,0,,3,5,16,False,
KXVAPRIMARY,Unknown,,quadratic,36,0,4.0,0.05,0.583,2758.9,4.0,custom,4.68,1,3,3,1,0,,3,5,16,False,
KXVENUEPERFORMANCESPHERE,Unknown,,quadratic,12,0,5.0,0.1625,1.0,5193.1,12.0,custom,6.92,1,2,3,2,0,,3,5,16,False,
KXVENUEPERFORMANCEYE,Unknown,,quadratic,20,0,5.0,0.0475,1.0,219.1,20.0,custom,5.64,1,2,3,2,0,,3,5,16,False,
KXVINE,Financials,custom,quadratic,1,0,4.0,0.06,1.0,12703.5,1.0,,4.8,1,3,4,0,0,,3,5,16,False,
KXVOTEPERCENTBINFACE,Unknown,,quadratic,8,0,5.0,0.5525,0.75,11263.0,8.0,greater_or_equal,8.48,1,1,3,3,0,,3,5,16,False,
KXWARSHOUT,Politics,one_off,quadratic,5,0,1.0,0.055,1.0,501.0,5.0,custom,1.74,0,5,3,1,0,,2,5,16,False,
KXWCHOST,Sports,custom,quadratic,14,0,3.0,0.1,0.786,475.6,14.0,custom,4.26,1,3,2,2,0,,3,5,16,False,
KXWEDDINGLOCATION,Unknown,,quadratic,6,0,1.0,0.1,1.0,7.5,6.0,custom,2.26,1,4,2,1,0,,3,5,16,False,
KXWENBACONATOR,Economics,monthly,quadratic,7,0,5.0,0.51,1.0,126.2,7.0,greater_or_equal,8.5,1,1,3,3,0,,3,5,16,False,
KXWIDGOV2ND,Unknown,,quadratic,3,0,1.0,0.305,1.0,8358.0,3.0,custom,3.98,1,3,3,1,0,,3,5,16,False,
KXWISOSNOMR,Unknown,,quadratic,2,0,1.0,0.5,1.0,167.3,2.0,custom,4.5,1,3,3,1,0,,3,5,16,False,
KXWNBADPOY,Sports,annual,quadratic,16,0,2.0,0.055,0.438,1267.0,16.0,"custom,structured",2.74,1,4,1,2,0,,3,5,16,False,
KXWNBAOT,Sports,custom,quadratic,8,0,1.0,0.0725,1.0,1.0,1.0,,1.96,1,5,2,0,0,,3,5,16,False,
KXWNBATOTAL,Sports,custom,quadratic,54,0,5.0,0.575,1.0,95.0,9.0,greater,8.44,1,1,3,3,0,,3,5,16,False,
KXWTAGRANDSLAM,Sports,custom,quadratic,15,0,4.0,0.05,0.6,2838.8,15.0,structured,4.68,1,3,2,2,0,,3,5,16,False,
KXYOUA,Financials,one_off,quadratic,8,0,7.0,0.53,1.0,2667.8,8.0,greater,10.5,1,1,3,3,0,,3,5,16,False,
KXYTUBESUBSISHOWSPEED,Unknown,,quadratic,4,0,6.5,0.6325,1.0,1239.4,4.0,greater_or_equal,9.76,1,1,3,3,0,,3,5,16,False,
KXYTVIEWS,Unknown,,quadratic,7,0,1.0,0.225,1.0,1858.0,1.0,greater,3.46,1,4,3,0,0,,3,5,16,False,
OAIAGI,Science and Technology,custom,quadratic,3,0,1.7,0.1895,1.0,206477.3,3.0,,3.86,0,3,4,1,0,,3,5,16,False,
SENATEAK,Unknown,,quadratic,4,0,3.0,0.5,1.0,108608.4,2.0,structured,6.5,1,2,4,1,0,,3,5,16,False,
SENATEGA,Unknown,,quadratic,4,0,3.1,0.49,1.0,122132.6,2.0,structured,6.6,1,2,4,1,0,,3,5,16,False,
SENATEIA,Unknown,,quadratic,4,0,3.0,0.5,1.0,222390.7,2.0,structured,6.5,1,2,4,1,0,,3,5,16,False,
SENATEKS,Unknown,,quadratic,4,0,2.0,0.49,1.0,43216.5,2.0,structured,5.5,1,2,4,1,0,,3,5,16,False,
SENATELA,Unknown,,quadratic,4,0,3.25,0.4888,1.0,20772.1,2.0,structured,6.75,1,2,4,1,0,,3,5,16,False,
SENATEMA,Unknown,,quadratic,2,0,0.5,0.5,1.0,1427.1,2.0,structured,4.0,1,3,3,1,0,,3,5,16,False,
SENATENC,Unknown,,quadratic,4,0,3.05,0.4875,1.0,76258.1,2.0,structured,6.55,1,2,4,1,0,,3,5,16,False,
SENATENE,Unknown,,quadratic,3,0,1.0,0.495,0.667,206854.5,3.0,"custom,structured",4.5,1,3,3,1,0,,3,5,16,False,
SENATENM,Unknown,,quadratic,2,0,2.2,0.4975,1.0,11404.9,2.0,structured,5.7,1,2,4,1,0,,3,5,16,False,
SENATEOHS,Unknown,,quadratic,2,0,1.5,0.5025,1.0,310726.1,2.0,structured,5.0,1,2,4,1,0,,3,5,16,False,
SENATERI,Unknown,,quadratic,2,0,0.35,0.4957,1.0,5805.6,2.0,structured,3.85,1,3,3,1,0,,3,5,16,False,
SENATESC,Unknown,,quadratic,4,0,3.0,0.4975,1.0,135437.4,2.0,structured,6.5,1,2,4,1,0,,3,5,16,False,
SENATEVA,Unknown,,quadratic,2,0,1.2,0.4955,1.0,9522.3,2.0,structured,4.7,1,3,3,1,0,,3,5,16,False,
WRECSS,Economics,custom,quadratic,4,0,6.55,0.0927,1.0,33723.9,4.0,custom,7.73,1,2,4,1,0,,3,5,16,False,
GOVPARTYAR,Unknown,,quadratic,2,0,2.95,0.4998,1.0,1384.3,2.0,custom,6.45,1,2,3,1,0,,3,5,15,False,
GOVPARTYCT,Unknown,,quadratic,2,0,2.5,0.4985,1.0,9831.6,2.0,structured,6.0,1,2,3,1,0,,3,5,15,False,
GOVPARTYHI,Unknown,,quadratic,2,0,2.45,0.4992,1.0,4364.8,2.0,structured,5.95,1,2,3,1,0,,3,5,15,False,
GOVPARTYID,Unknown,,quadratic,2,0,3.3,0.4975,1.0,1333.0,2.0,structured,6.8,1,2,3,1,0,,3,5,15,False,
GOVPARTYIN,Unknown,,quadratic,2,0,2.8,0.5,1.0,934.4,2.0,custom,6.3,1,2,3,1,0,,3,5,15,False,
GOVPARTYLA,Unknown,,quadratic,2,0,2.65,0.4873,1.0,3345.3,2.0,custom,6.15,1,2,3,1,0,,3,5,15,False,
