wallet,n_markets_p1,n_fills_p1,avg_entry_p1,win_rate_p1,edge_p1,edge_se_p1,notional_p1,n_markets_p2,n_fills_p2,avg_entry_p2,win_rate_p2,edge_p2,edge_se_p2,notional_p2
0x15ac9d4fb9c30fca4fec2fdecde3fdace721f3ba,47.0,168.0,0.9838085354617024,1.0,0.01619146453829788,0.004171294687738753,25506.113800004998,39.0,75.0,0.9717751711358975,1.0,0.028224828864102578,0.016227763037564326,26585.028699961615
0x162bb1bebef09f6baa118456520d0e656d32dadd,168.0,168.0,0.9176190198220239,0.9345238095238095,0.01690478970178569,0.019120405950326456,955.6297868102375,92.0,92.0,0.9194456122847825,0.9239130434782609,0.0044674311934782395,0.027845797902240652,91.99956799988826
0x167a59f38ffe5eb3b116c793fae3ae295070d542,24.0,74.0,0.6076910195394096,0.6666666666666666,0.05897564712725705,0.08593357273434253,1262.6852779995472,146.0,189.0,0.7061711381326143,0.7397260273972602,0.03355488926464585,0.03321328020203911,5838.020694995232
0x1793797bdedaab854f300cf2b587b98b8c644ebb,22.0,22.0,0.5413169353636363,0.5909090909090909,0.049592155545454555,0.0918942539663383,362.5659096917733,20.0,20.0,0.486499982575,0.65,0.16350001742500003,0.10030551989025309,139.7774820020162
0x18a460ad85afd38a627960295c6ad6f2cd533a31,53.0,727.0,0.502700296195812,0.4716981132075472,-0.03100218298826476,0.06059304593064868,33616.952875046125,48.0,1021.0,0.44661310264274934,0.4791666666666667,0.03255356402391733,0.06464655915103165,16113.374076027581
0x18a703d1effbc7c36d3f83be924b19484e4a206c,27.0,59.0,0.30925929224868554,0.2962962962962963,-0.012962995952389192,0.0826991370373144,154.13721999986947,26.0,63.0,0.4630456576506073,0.46153846153846156,-0.0015071961121456872,0.083386037775431,254.41198699966574
0x18d21689151f6c1ed20d1912f2196ba6a727e9c3,108.0,444.0,0.7146172841223665,0.8981481481481481,0.18353086402578161,0.027054252819912947,1307.8191870008252,29.0,110.0,0.693010229143479,0.8620689655172413,0.16905873637376254,0.0647437826801574,355.6398209986352
0x1a1e0ac0b3ecc0b5bb133af94a26d5236557f992,26.0,58.0,0.35910626723356326,0.3076923076923077,-0.05141395954125553,0.08925669072374133,1614.9799460513725,59.0,73.0,0.44161617996481495,0.423728813559322,-0.01788736640549292,0.06061349822502738,1612.7299379898454
0x1a59d3f300b446d78a42941ab1b71dd61273a57e,76.0,446.0,0.4538405177939834,0.4868421052631579,0.033001587469174504,0.049427837007496644,6116.915060999197,81.0,591.0,0.4710075052472893,0.4074074074074074,-0.06360009783988196,0.04949934397748802,12974.378039996496
0x1ab8222ecb2f0b03f6249616c3bea54bb0f41b4a,27.0,300.0,0.4856709299795619,0.5185185185185185,0.032847588538956654,0.06992027164491155,37710.049362947975,36.0,602.0,0.5618274189139217,0.6666666666666666,0.10483924775274499,0.05710880440108168,113010.39585493735
0x1bc1473f1c37f9737f224c6d2dbf37f6b881a6a7,27.0,34.0,0.5922222222222222,0.7037037037037037,0.11148148148148149,0.07943121108545732,99.96999999999998,31.0,34.0,0.6136175115207373,0.6451612903225806,0.03154377880184332,0.07846336722611773,123.76999999999998
0x1bcef021c846cd82e3daab1f0e239c052465c696,33.0,79.0,0.6974284476019749,0.8181818181818182,0.1207533705798432,0.06771542161831555,315.22226999988555,39.0,66.0,0.7213031289138373,0.7692307692307693,0.04792764031693194,0.06701543604956982,242.3664539999998
0x1c417a8bd74eb86f7d9efc6213fdcedcb79e0e80,85.0,95.0,0.010223529196470588,0.0,-0.010223529196470588,0.0001573380720031792,10.949262999842148,112.0,140.0,0.009999999999999998,0.008928571428571428,-0.0010714285714285708,0.008928571428571428,11.868595999999998
0x1c70ac3d24049820abc5e31af2cac9710124b25e,45.0,92.0,0.6392032360395133,0.7111111111111111,0.07190787507159781,0.04893824342193082,4983.225878923211,23.0,48.0,0.744508144320358,0.782608695652174,0.03810055133181577,0.06603531322392839,3188.724880961929
0x1cba5593c7f29eca329a4749e447a81b4ec1b694,48.0,4172.0,0.48102323573733835,0.6458333333333334,0.164810097595995,0.06708973124032781,82782.31718105091,141.0,20316.0,0.4983122572013702,0.5815602836879432,0.08324802648657305,0.04138567399417114,378876.89094700525
0x1cdd071bb612de6d66d0c882b676c663697de595,145.0,8270.0,0.43313950586539013,0.2482758620689655,-0.1848636437964246,0.035457625509132895,49920.76616699714,165.0,5433.0,0.3642154243085019,0.24848484848484848,-0.1157305758236534,0.0321464768452375,39094.85159199501
0x1d0aaf736915c4bbb39341fe8a2c6dca3b73ea32,52.0,85.0,0.14987520738404367,0.057692307692307696,-0.09218289969173597,0.03044619287293872,465.97115398008856,130.0,225.0,0.21385042432142973,0.2230769230769231,0.009226498755493341,0.03450691378487731,1125.7089310129754
0x1d2a47b6ec514a0fe26cb07a45cd4702b4647682,29.0,50.0,0.5248822635021737,0.6206896551724138,0.09580739167024008,0.07822020404811647,118.88996000016496,100.0,226.0,0.5852442390508817,0.62,0.03475576094911835,0.043705510072564256,850.9378269997568
0x1d3bed1d05fd31c69c7f1fd95a39edd674a3583b,49.0,71.0,0.5839363896230187,0.5918367346938775,0.007900345070858836,0.05285793788576787,7481.109686991846,63.0,79.0,0.5710893014522077,0.6031746031746031,0.03208530172239546,0.05247582305536775,5389.999751003801
0x1d501441fa9dfd74a99e4502ed50b1684d63d283,138.0,661.0,0.5508436518833086,0.6159420289855072,0.06509837710219858,0.03562259377522513,3278.4063640493423,44.0,248.0,0.5944928384028733,0.6590909090909091,0.06459807068803594,0.07214569746867455,1395.9106259996051
0x1dd21c41843601515bd0e2e70a242495f9059e07,34.0,35.0,0.47728787208346607,0.38235294117647056,-0.09493493090699555,0.06940843452697816,1071.3391184079449,25.0,25.0,0.525062936068,0.6,0.07493706393199999,0.09296377338361156,1344.759977997849
0x1df231bd33dae91463e1682927e8096b82c289a0,87.0,2567.0,0.45740837966173414,0.47126436781609193,0.013855988154357722,0.04971691796320779,62883.807448981024,100.0,1593.0,0.34954663340907205,0.39,0.04045336659092809,0.04403692191465701,45561.41302595063
0x1e320f759590d8f6e793078bf03e72721a794847,29.0,48.0,0.48324442380825516,0.5517241379310345,0.06847971412277928,0.07580561949866656,88.27994300000962,65.0,113.0,0.4962066278563022,0.49230769230769234,-0.0038989355486098924,0.05857142431563683,200.59987700058855
0x1e3bb7def89b002d45fd86d37f35918c2618e232,84.0,524.0,0.5139336954545948,0.47619047619047616,-0.03774321926411866,0.05053420424449659,10100.233501000796,53.0,250.0,0.5575216700970327,0.5094339622641509,-0.0480877078328817,0.06331422900783172,6561.875617995122
0x1e4647c2429fa5a9e95088c883f2c5fa9a965737,34.0,148.0,0.572016075628261,0.5294117647058824,-0.042604310922378645,0.05847851931623412,7329.283271158468,20.0,71.0,0.6116158010309991,0.6,-0.01161580103099918,0.09548347844969535,6600.012094996458
0x1e72356e539c6bda23fde32c4aea2be6cbced0b9,93.0,423.0,0.11982641152097487,0.07526881720430108,-0.04455759431667377,0.0241659219662115,1410.8592051125622,68.0,170.0,0.19797245159514892,0.11764705882352941,-0.08032539277161951,0.03557420990706077,914.8664980033093
0x1e7d01a3d42980d5befc94208a0b30f39b7869a5,51.0,65.0,0.48745293340373963,0.4117647058823529,-0.0756882275213867,0.05738394032895043,350.7499400009429,44.0,51.0,0.704314464546038,0.7272727272727273,0.022958262726689386,0.06524454980713176,368.489888997689
0x1fa841254cc408589b07121fce6c1cb583430b19,102.0,233.0,0.5798585965087968,0.6666666666666666,0.0868080701578699,0.0385956493659633,2118.7226498166137,93.0,231.0,0.48728362232084427,0.45161290322580644,-0.035670719095037925,0.04510023807102651,2603.7797499979697
0x2005d16a84ceefa912d4e380cd32e7ff827875ea,384.0,31381.0,0.4889106587527568,0.5,0.011089341247243145,0.0253220806083237,3801757.433957061,625.0,35703.0,0.4503588763131519,0.4464,-0.003958876313151929,0.019279195182694928,8410743.601693673
0x200ffb575b936d297fcf39076ddf2b476ae07a96,79.0,333.0,0.5302324075773955,0.5569620253164557,0.026729617739060043,0.04997759578166284,6749.992412482592,59.0,153.0,0.40829685810372973,0.4576271186440678,0.0493302605403381,0.062421010231956495,2738.500616995672
0x204f0a3daba2136fa857863d5d008c6a02b6ba2c,43.0,66.0,0.36219076628247293,0.37209302325581395,0.009902256973341043,0.06887999937644265,210.97486900101913,104.0,230.0,0.3024545820819195,0.25961538461538464,-0.04283919746653491,0.039982596034071,652.7131410015984
0x204f72f35326db932158cba6adff0b9a1da95e14,377.0,15687.0,0.5395272156546838,0.7188328912466844,0.17930567559200059,0.02283383379333892,3664568.736946263,327.0,16402.0,0.5209787710530417,0.6636085626911316,0.14262979163808975,0.02601581878334948,3812268.1362964455
0x20bae509245385789fb8af1e79bcba81d2766c27,68.0,73.0,0.7591064749601097,0.7941176470588235,0.03501117209871376,0.04493671919261267,21478.923582729636,29.0,30.0,0.7540503726881503,0.7931034482758621,0.03905307558771171,0.07910110173404822,7718.919935091016
0x21f70bb325ee47b550d7ffc0ff4ac11c6bc94c3a,26.0,66.0,0.8185039346845412,0.9615384615384616,0.14303452685392026,0.044009162263792846,696.0997090050524,135.0,288.0,0.8720971344467685,0.9259259259259259,0.05382879147915725,0.019923774121580203,24001.342344016502
0x222b39028382cf70873f92487fb6e93324751a8d,84.0,4605.0,0.5695530358003804,0.6666666666666666,0.09711363086628634,0.04623805313451278,32336.041442002985,121.0,9890.0,0.49798930525629,0.48760330578512395,-0.010385999471166009,0.041968635086868364,26099.777804997844
