wallet,n_markets,n_fills,avg_entry,win_rate,edge,edge_se,notional,shrink_w,edge_shrunk,t_stat,p_value,q_value,significant_fdr
0x7bf62398e9a200c5ead5939a14b50ccb28a2342e,53.0,131.0,0.589037582029242,0.6792452830188679,0.09020770098962606,0.05448127677038453,148.88036299940293,0.4791525656510293,0.04962787747688451,1.6557560016409538,0.09777124124154524,0.36442710943596024,False
0xbafb727ce842d0a8b0490c6b25b6f70c92b43031,62.0,162.0,0.797934580690118,0.8709677419354839,0.07303316124536581,0.041400097062733156,578.9928140000151,0.6143677825439176,0.0496111668645464,1.7640818845110287,0.07771819395595636,0.3275085330268161,False
0xc883df1cfa4dacd89aef4efcc328219b1c914ea1,24.0,30.0,0.7290000001762063,0.8333333333333334,0.10433333315712708,0.063355554877046,434.38101699999976,0.40486150590840986,0.04955870015648671,1.6467906146447076,0.09960109112885052,0.36959886909540357,False
0x55c65834e066dc3a5b4047395e6eaa62cc720d49,32.0,32.0,0.819006271053125,0.90625,0.08724372894687503,0.052641510411385366,686.9776289929066,0.4963165975019422,0.04949407844826014,1.6573181176808685,0.09745517622953637,0.36442710943596024,False
0x056c3c1d6b90f764bd1f6c47fdaf7380619ca69a,23.0,119.0,0.597176930270105,0.7391304347826086,0.1419535045125036,0.08238663231491922,20300.68684130606,0.28688314917737356,0.049492944858357577,1.723016228772317,0.08488559030570642,0.3398372799554188,False
0x46f804d6f4eb54292d4329e160b2640b702f68cc,38.0,517.0,0.4056117424977942,0.5263157894736842,0.12070404697589004,0.072406819279792,11507.285351995504,0.3424658212865145,0.049422411964559626,1.667025953860361,0.09550924422088491,0.36223285418479734,False
0x15366fec3c72731622619329ec93a0474b5a3ca5,54.0,60.0,0.7321346862658544,0.8148148148148148,0.08268012854896031,0.04946275386467602,535.4555140004428,0.5274314789814221,0.04941906455571063,1.6715633904081224,0.09461044890997794,0.3598825187888394,False
0x693b91d7d29c9575315e89f0b4720aa6b8d084e3,33.0,152.0,0.7676538175842575,0.8484848484848485,0.08083103090059093,0.04817785157796371,29662.977602655403,0.5405301950845126,0.04934150596721652,1.6777632927401562,0.09339331794317252,0.3573610785985785,False
0xbaef40366903e40c5e0d31458e445a4566364776,25.0,48.0,0.6538581251875054,0.8,0.14614187481249466,0.08451643616880791,75.92565865917342,0.27655476754164016,0.04931211211693562,1.7291533036319693,0.08378166127173015,0.3392039315852309,False
0x1f54b6dd05117f40e1b478573471f4b63a8979d2,26.0,31.0,0.34113406421363257,0.5,0.1588659357863674,0.0899043046718876,48.706971057592405,0.2525202892162119,0.04930829309685656,1.7670559420503875,0.07721886000706357,0.32593689027531414,False
0xabb3969895db9944686e20a56ba38f7d3a7ff5b0,80.0,138.0,0.5821729720731843,0.6625,0.08032702792681565,0.047958205821615675,19353.09354490471,0.5427990688614953,0.04922342971067977,1.6749381372939254,0.09394636995816263,0.3584137398255938,False
0xa84dc430e7542ac09c7ae0a426a1e89fded7bebd,47.0,101.0,0.5960936245968957,0.6808510638297872,0.08475743923289145,0.051301110872904725,7538.766519264147,0.5092117751355593,0.04919448764537539,1.6521560213944035,0.09850274911065071,0.3662667045672136,False
0xa82001b0312d5a1441f6d20efd04c148b9692dce,22.0,28.0,0.5623744203913269,0.7272727272727273,0.16489830688140036,0.09261531449530869,492.7499849964136,0.2414707635157698,0.04914541214708663,1.7804647944023673,0.0749999259726879,0.3207708276675988,False
0x03bab08ec71cc18c39484b849ecbf1190ce4beba,159.0,10111.0,0.49758584251225557,0.5660377358490566,0.06845189333680098,0.037853713232999596,98098.24784778758,0.6558417456534776,0.049125568129132983,1.8083270435178052,0.07055561527288434,0.3120169219574236,False
0x88f17731836942b533f33958a302fb4c31bad3d0,77.0,203.0,0.9507757317365607,1.0,0.04922426826343914,0.0027098206496116344,8908.946039653636,0.9973180114709402,0.049125228544527555,18.165138814811915,0.0,0.0,True
0x829ae1c1147ca6d2a4529bf36d264fd6cf73a748,106.0,183.0,0.6211974165831402,0.6886792452830188,0.06748182869987868,0.036983207997992366,512.1050466305102,0.6662667599992539,0.04906466657463783,1.8246613085468932,0.06805215541894793,0.30509340495454684,False
0x724c7f277889814c98afcd38555e25c6e68f1521,42.0,75.0,0.8606539922831486,0.9285714285714286,0.06791743628828001,0.03770070461893669,21533.530653001755,0.6576678414893016,0.0488766179557367,1.8014898388441727,0.07162570743654628,0.31308932115059807,False
0x65a63d29189f834a959178d8987d3551e14044ac,28.0,31.0,0.7148928072250001,0.8214285714285714,0.10653576420357139,0.06590245514133561,47.889979000076856,0.38601949354041715,0.04867472325210919,1.6165674552654046,0.10597168168078963,0.38621248822614074,False
0x0d2d845a6ff64e31e04a70afce8a573940767ff5,943.0,41057.0,0.4860825229134409,0.5376458112407211,0.0515632883272802,0.014836518217162274,1457599.4304111216,0.925400506466647,0.04863400947626007,3.475430527064895,0.0005100340811075021,0.007835037198919172,True
0x3654e2c92f08f722e8983db1f5d48c8962bf1b78,93.0,284.0,0.530746406085207,0.6021505376344086,0.07140413154920172,0.04136685173109972,1279.989649000582,0.6147483709834497,0.04863283916494371,1.7261195513102074,0.0843259071452116,0.3392769337402507,False
0x5ab486c9cd3513a20fd27907c5e57a78fdf25c9c,24.0,35.0,0.824319182165981,0.9166666666666666,0.09234748450068575,0.05738674478162929,1137.5248447207673,0.45329886797938335,0.04858354755675155,1.6092128043172806,0.10756981754695039,0.3896384261988554,False
0x97488b77e6e3b3e0ae90465c82739f0ed494228c,27.0,168.0,0.5758288770824126,0.6666666666666666,0.0908377895842541,0.056690734914129674,554.4702339991351,0.4593535195418271,0.04837474440390048,1.6023392485888126,0.10908061099760502,0.3904973643095355,False
0x466658e9a04e4586fb0ea46abf0a2fd8902f3a55,124.0,213.0,0.4876950060054735,0.5564516129032258,0.06875660689775233,0.03928831261847621,471.6764791655335,0.6388605233302713,0.048366651210857335,1.7500524281976415,0.08010926741399449,0.3333152230019471,False
0x1ab8222ecb2f0b03f6249616c3bea54bb0f41b4a,63.0,902.0,0.529188923656339,0.6031746031746031,0.07398567951826429,0.04417218185624485,150720.44521788528,0.5832393660384019,0.04827607846153219,1.674938307531317,0.09394633655356621,0.3584137398255938,False
0x71271e0ffcf12540d937fb419fe65351be62c7a2,63.0,151.0,0.5566028742652418,0.6349206349206349,0.07831776065539317,0.04800010166034806,703.0779810031265,0.5423656309637808,0.04810418521156336,1.6316165580142914,0.10276028787808711,0.37968306939482327,False
0xb05345cffb45cf0b01fcfb851e92d5e14d467e01,30.0,68.0,0.5957221252235296,0.7333333333333333,0.1376112081098037,0.082640342169755,92.65117699900878,0.2856267191610063,0.04808976409275413,1.6651819740427836,0.09587645615141005,0.3625592088188952,False
0x5968454ab9fa39745d5d4adf78f23b80ebe53fc4,299.0,740.0,0.5770099714630416,0.6321070234113713,0.05509705194832969,0.023281396973333986,2406.415211995721,0.8343763931592569,0.048008278309844714,2.3665698416395147,0.017953786413553496,0.12616570888434459,False
0xcd91a549956854fdc38efad7e80ff5da8f5432b8,23.0,239.0,0.7628570033036854,0.8260869565217391,0.06322995321805369,0.034140983649201026,15431.246852995338,0.7008353782650647,0.04799248067365109,1.8520249406912859,0.06402224157859537,0.29327417589910737,False
0x0d233076c4dac74786a165e0337732d89437251c,50.0,256.0,0.4626998884441742,0.56,0.09730011155582582,0.06143495962321287,5328.563010877025,0.41977867607888136,0.04797923207223823,1.5837905998893422,0.11324137913775267,0.3986521685799286,False
0x1e87301f59392c7ba433a91600546f1b4237e4e7,26.0,146.0,0.4937348396792727,0.6538461538461539,0.1601113141668811,0.09273539575350695,163.39701000299405,0.2409964267361381,0.04791937938177453,1.726539395943929,0.08425041816717926,0.3392769337402507,False
0xe4d38496a46e4bfd2036d4e9389a955595d6c2f0,36.0,208.0,0.8063920014200698,0.8888888888888888,0.08249688746881902,0.051502269371400726,254899.50033405115,0.5072555753595541,0.04790606218282454,1.6018107255411476,0.10919747056642959,0.3904973643095355,False
0xd9c9651bfd445b2cddf750662ee79a755f216686,623.0,2150.0,0.5467036919739694,0.5987158908507223,0.05201219887675286,0.017936727158959595,8448.717053981716,0.8945963427309882,0.04782602415082956,2.8997597173558045,0.0037344881780854156,0.03762205082532143,True
0xadafdd00c50d98005b55b40355ffe43b7a47aefd,30.0,72.0,0.40950252648272784,0.5333333333333333,0.12383080685060549,0.07661276907285908,2327.046184846522,0.31750720944285915,0.04770948010924254,1.6163207302015392,0.10602498707410146,0.38621248822614074,False
