wallet,n,avg_price,win_rate,edge,edge_se,staked,shrink_weight,edge_shrunk,t_stat,p_value,q_value,significant_fdr
0xbe296b2b68bb286f351249de8f13f3862e4feb76,132.0,0.43564511189318184,0.45454545454545453,0.018900342652272695,0.03992599049509664,3843.4111579999994,0.8884047300567457,0.016822381750775755,0.47338444000766544,0.6359389289441355,0.7943298806676165,False
0xcba64005b01b95f09dd4dac77e81e8cbefedbb05,51.0,0.5476470588235294,0.5686274509803921,0.02098039215686276,0.05652155924049969,513.35,0.7988881081252975,0.016817263361078597,0.37119273492776483,0.710493983892742,0.8509022108452615,False
0x4861a3412ba3ccffde470e4998b24a012d924fca,166.0,0.46965060240963846,0.4879518072289157,0.018301204819277217,0.03445591547152121,834.69,0.9144516096905101,0.01675950539202564,0.5311484129453383,0.5953159378355761,0.76873147509405,False
0x57b6d0598fe2584134e90cc3a751d6dad2359b2c,24.0,0.5545416666666667,0.5833333333333334,0.02879166666666666,0.0966221720280364,252.76,0.5761497202007039,0.01670691760824119,0.29798198552514754,0.7657169128822734,0.8779775227503963,False
0x79e13feb5c0c275a0402b7951a236b1af1f1ecb4,42.0,0.5254761835166667,0.5476190476190477,0.022142864102380977,0.06502080058546601,352.13632299999995,0.7501081742372843,0.016679471118743194,0.34055046851161863,0.733442023037223,0.8616132305756707,False
0x1d13ddf877381e7f06b6ede3a64275c5e969643c,43.0,0.6069767524209303,0.627906976744186,0.020930224323255753,0.05765231129974708,8621.273259999998,0.7924476880155392,0.016644187674054258,0.3630422415232392,0.7165733297032932,0.8534260964155087,False
0xfb8edbc409120f8dbab8df8e723037e0fe773dc3,54.0,0.349493048812963,0.37037037037037035,0.020877321557407347,0.05778133548298176,2219.3794099999996,0.7917113714912025,0.01658709872772115,0.36131600945008113,0.7178632271555663,0.854326282042573,False
0xcf7379b4b891c06d88807f6f70efa75378120215,1082.0,0.5138188740315157,0.5304990757855823,0.016680201754066593,0.011765286329301206,242801.233908,0.9892101085770426,0.016503243546209148,1.4177472002976153,0.15626458430407686,0.31387829977894716,False
0xc26f240c9b9a66d002cfab3f0fbb8697c049ba84,21.0,0.6406587890666666,0.6666666666666666,0.026007877600000007,0.08654913758612637,1662.850026,0.6288249470283283,0.01645826894889661,0.30049840270354133,0.7637970146213906,0.8771667693858259,False
0x9f19861f8a10dfa567bdd8aa42c501f66030d8c3,61.0,0.8500000217622953,0.8688524590163934,0.01885243725409813,0.04357902049939967,2201.3479870000006,0.8698294959327356,0.016434831879422896,0.43260351054374513,0.6653028386458164,0.8183842337618193,False
