wallet,n_p1,avg_price_p1,win_rate_p1,edge_p1,edge_se_p1,staked_p1,n_p2,avg_price_p2,win_rate_p2,edge_p2,edge_se_p2,staked_p2
0x84f7860753f0fb62e7e786523690661c4255ade1,113.0,0.2552566364920354,0.02654867256637168,-0.22870796392566373,0.016069876993577266,6210.114509,27.0,0.1105925918185185,0.037037037037037035,-0.07355555478148146,0.03836685021900016,1488.84857
0x85264d29fa7279946d15105c17eb6c2533f572aa,103.0,0.3776421100106796,0.3786407766990291,0.0009986666883495254,0.04662033657879572,3545.7436810000004,140.0,0.4269016649771429,0.37142857142857144,-0.05547309354857144,0.03616033119110786,6129.36258
0x8546a601f7c7cc3dae7141f20b0e09e42bbf35b8,28.0,0.6517857275785716,0.6071428571428571,-0.044642870435714466,0.05412234637457116,4894.821363,150.0,0.7585051209019998,0.84,0.08149487909800013,0.026035225399579885,170204.977003
0x85630920a4199fb360724c2e07492b343cdf5e98,84.0,0.9814846467714284,1.0,0.018515353228571563,0.003461398657047318,7786.7502,76.0,0.9745113935342103,1.0,0.025488606465789654,0.005133889083899855,4013.23
0x85ad17bb98ad98420b043867a803fa9d8213d3fb,61.0,0.5334389774344261,0.47540983606557374,-0.0580291413688524,0.0473172639982413,962.8186559999999,49.0,0.5395917867326531,0.46938775510204084,-0.07020403163061223,0.06327343866871958,363.548813
0x85c3e3052e5bbe835ff27a4cbf2abd296a89700c,22.0,0.5326059563272729,0.6363636363636364,0.10375768003636343,0.10038510497797978,3016.3348050000004,79.0,0.45547721520506324,0.379746835443038,-0.07573037976202524,0.05297280869108842,14248.653518000003
0x85d57ae07c1c0cae93f1ed6d05166eff4233bbf0,26.0,0.36153847619615387,0.2692307692307692,-0.09230770696538465,0.08066704220158166,4162.496175,36.0,0.3483333679944444,0.1111111111111111,-0.23722225688333332,0.03701911342303343,1934.6878669999999
0x8644485e16abbbad5b3141b3b4ee6742ba96ad01,52.0,0.4404074954750001,0.34615384615384615,-0.09425364932115393,0.0501607231589241,8257.268586,39.0,0.5502564186410256,0.23076923076923078,-0.3194871878717948,0.07555101129738404,8087.20449
0x864929c386be023347d02e9eea10c942febbba57,42.0,0.4945604584928572,0.5238095238095238,0.029249065316666656,0.07232216485131285,2623.717376,75.0,0.46678806656000005,0.52,0.05321193343999997,0.0582497079610126,4975.762837
0x86b1d13d442471814d47218b1486cb364cc0c094,53.0,0.2987232897962264,0.18867924528301888,-0.11004404451320754,0.05057918928107983,4692.257774000001,393.0,0.1804497477745547,0.18829516539440203,0.007845417619847334,0.017536178675132835,72697.163649
0x86c878cde72660ec52f5e6f0f0438b76de8fc867,88.0,0.6299269848795455,0.8522727272727273,0.22234574239318183,0.021504659309687323,35777.560337999996,123.0,0.7328444392447153,0.9349593495934959,0.2021149103487806,0.018847306537580592,43844.319706999995
