minute_of_day,n,rms_logret,se,ci_lo,ci_hi,vol_ratio_to_mean
1243,71,0.0003659002571748289,3.070566748170808e-05,0.00030571714891068104,0.0004260833654389768,0.6535533811456415
1244,71,0.0003720410932967315,3.1220995001493635e-05,0.00031084794309380395,0.00043323424349965903,0.6645218462719537
1245,71,0.0003921012869718688,3.2904409059093275e-05,0.00032760864521604597,0.00045659392872769163,0.7003523961164655
1246,71,0.0004384770381934577,3.679617564930951e-05,0.0003663565339208111,0.0005105975424661044,0.7831865248707308
1247,71,0.0005578544778666525,4.681410784680277e-05,0.0004660988264869191,0.000649610129246386,0.9964127465009828
1248,71,0.0003698304283444749,3.103548011975628e-05,0.00030900088730975256,0.0004306599693791972,0.66057326322016
1249,71,0.0005118349805250178,4.295223741807439e-05,0.000427648595185592,0.0005960213658644436,0.9142149412344026
1250,71,0.0005097042115434282,4.2773427257255704e-05,0.00042586829411920705,0.0005935401289676494,0.9104090645096624
1251,71,0.00043613734305681805,3.659983279503297e-05,0.00036440167077855345,0.0005078730153350826,0.7790074743305442
1252,71,0.0004104177052701144,3.444148873775848e-05,0.00034291238734410776,0.000477923023196121,0.7330682985367707
1253,71,0.00045017829708351824,3.777812348222373e-05,0.00037613317505835975,0.0005242234191086768,0.8040867488014442
1254,71,0.0003937083736603292,3.3039272778105544e-05,0.0003289513990152423,0.00045846534830541605,0.7032228968019448
1255,71,0.0004978014813881462,4.177457233134085e-05,0.00041592331961871817,0.0005796796431575743,0.889148982327944
1256,71,0.0004028119316532536,3.3803226394289046e-05,0.0003365576079204471,0.00046906625538606014,0.7194832327543419
1257,71,0.0004301606469249847,3.6098279597229117e-05,0.00035940801891441563,0.0005009132749355538,0.7683321881331545
1258,71,0.00038826060815492754,3.258210645245507e-05,0.00032439967950811564,0.00045212153680173944,0.6934923609634782
1259,71,0.0003569143567009624,2.995158746519026e-05,0.00029820924526918947,0.0004156194681327353,0.6375031993756746
1260,71,0.0003905956354082705,3.277805758666708e-05,0.00032635064253840306,0.000454840628278138,0.6976630739557906
1261,71,0.0003902212204679888,3.274663738285186e-05,0.00032603781119759916,0.00045440462973837846,0.6969943120585952
1262,71,0.0006933134410528634,5.818157151880934e-05,0.0005792775608759971,0.0008073493212297296,1.2383630093414137
1263,71,0.0006597492972556133,5.536493114062517e-05,0.000551234032219988,0.0007682645622912386,1.178412355484753
1264,71,0.00048212830951150596,4.045930896491521e-05,0.00040282806394027217,0.0005614285550827397,0.8611543191037508
1265,71,0.0006544955627605019,5.492404753565139e-05,0.0005468444295906251,0.0007621466959303786,1.1690283884729973
1266,71,0.0003648433124354666,3.061697064950582e-05,0.0003048340499624352,0.000424852574908498,0.6516655174599807
1267,71,0.0005940978402821164,4.985558325690759e-05,0.0004963808970985775,0.0006918147834656552,1.061148891355332
1268,71,0.0003358220069503461,2.818155679385116e-05,0.0002805861556343978,0.0003910578582662944,0.5998290621606379
1269,71,0.0010059512040186062,8.441754977685238e-05,0.0008404928064559755,0.0011714096015812369,1.7967814937603606
1270,71,0.0005982807354777316,5.02066040240945e-05,0.0004998757915905065,0.0006966856793649568,1.0686201768886623
1271,71,0.0006542023476367835,5.489944146907188e-05,0.0005465994423574026,0.0007618052529161644,1.168504661769472
1272,71,0.0006003341183002236,5.0378920082702685e-05,0.0005015914349381263,0.0006990768016623208,1.0722878301906515
1273,71,0.0005367964157748048,4.5046954531869496e-05,0.0004485043848923405,0.000625088446657269,0.958799852247328
1274,71,0.0003859682878317644,3.238973920421075e-05,0.0003224843989915113,0.00044945217667201743,0.6893979290288312
1275,71,0.0008270929739995042,6.94081005358552e-05,0.000691053096949228,0.0009631328510497804,1.4773135549366478
1276,71,0.0006378897731011387,5.353052062345804e-05,0.0005329699526791609,0.0007428095935231164,1.1393679283731164
1277,71,0.00051420562504213,4.315117748666527e-05,0.0004296293171682661,0.000598781932915994,0.9184492720643829
1278,71,0.0011192554351458512,9.392582963466473e-05,0.0009351608090619084,0.001303350061229794,1.9991600433767842
1279,71,0.0005709257301753734,4.791102297350989e-05,0.00047702012514729404,0.0006648313352034528,1.0197599865606983
1280,71,0.0005133556866157937,4.307985223835712e-05,0.0004289191762286137,0.0005977921970029736,0.9169311530649957
1281,71,0.0004648841672112276,3.9012212689094315e-05,0.00038842023034060276,0.0005413481040818525,0.8303536643233453
1282,71,0.00036424723192527743,3.0566948684286346e-05,0.0003043360125040762,0.00042415845134647864,0.6506008272193203
1283,71,0.00042172348670209533,3.5390248839628006e-05,0.00035235859897642444,0.0004910883744277662,0.7532621397174679
1284,71,0.0003881900881332557,3.25761885436977e-05,0.0003243407585876082,0.0004520394176789032,0.6933664015040398
1285,71,0.0005257037439744352,4.411607819301214e-05,0.0004392362307161314,0.000612171257232739,0.9389866572060178
1286,71,0.00037111254003871307,3.1143072543062164e-05,0.0003100721178543112,0.0004321529622231149,0.6628633092541407
1287,71,0.00035807193893386074,3.0048729608244637e-05,0.0002991764289017012,0.00041696744896602025,0.6395708168955588
1288,71,0.0004462239022244513,3.74462780373164e-05,0.00037282919727131113,0.0005196186071775914,0.7970235995419089
1289,71,0.0004157618663635981,3.488996077429708e-05,0.0003473775432459758,0.0004841461894812204,0.7426137811745828
1290,71,0.0005129841858687783,4.304867658820826e-05,0.00042860877975589015,0.0005973595919816666,0.9162675963591747
1291,71,0.0003774408986378747,3.167413659956547e-05,0.0003153595909027264,0.000439522206373023,0.6741667179795628
1292,71,0.00045227453121556564,3.7954035542847666e-05,0.0003778846215515842,0.0005266644408795471,0.807830941044572
1293,71,0.00030943206915912434,2.59669624097509e-05,0.00025853682283601256,0.0003603273154822361,0.5526926288472409
1294,71,0.00046108430887225276,3.869333566087072e-05,0.00038524537097694615,0.0005369232467675593,0.8235665407381195
1295,71,0.0005972169862641295,5.011733617309873e-05,0.000498987007364856,0.000695446965163403,1.066720159379496
1296,71,0.000431673067760064,3.622519913429892e-05,0.0003606716774568381,0.0005026744580632898,0.7710336012398661
1297,71,0.00043481012174455096,3.64884548566741e-05,0.0003632927502254697,0.0005063274932636322,0.7766368556738148
1298,71,0.0005425349967628599,4.552852555069466e-05,0.0004532990866834983,0.0006317709068422214,0.9690498286662556
1299,71,0.0005286430130115054,4.436273617130494e-05,0.0004416920501157477,0.000615593975907263,0.944236637711924
1300,71,0.0009306301870679193,7.809675044555584e-05,0.0007775605561946299,0.0010836998179412087,1.6622467282493076
1301,71,0.0005990088756583183,5.0267708190672004e-05,0.0005004841676046011,0.0006975335837120354,1.0699207457394326
1302,71,0.0005303709391194828,4.450774050913781e-05,0.00044313576772157267,0.0006176061105173929,0.947322975936876
1303,71,0.0005567170027248713,4.671865305335191e-05,0.00046514844274030153,0.0006482855627094411,0.9943810432968907
