ticker,n_trades,notional,net_signed,vwap_yes,first_ns,last_ns,one_sidedness,side
KXITFMATCH-26JUL30IGNART-ART,593,75614.2105,37859.201499999996,0.7902698145025295,1785402198288966000,1785413774584829000,0.5006889743297657,yes
KXCS2GAME-26JUL311130TSLIQ-TS,880,75117.0036,32471.8492,0.8444545454545456,1785402074135342000,1785423595523633000,0.4322836061581136,yes
KXWTACHALLENGERMATCH-26JUL30SAMSOB-SAM,419,74859.7462,43086.3198,0.7686396181384249,1785402361819254000,1785410369648056000,0.5755605914677814,yes
KXBTCD-26JUL3012-T64399.99,741,74188.1545,-30021.4071,0.8950877192982456,1785423602390751000,1785426858845200000,0.40466577585509284,no
KXATPSETWINNER-26JUL30NAKMEN-2-MEN,661,74172.9075,21876.1769,0.7065355521936459,1785417464854467000,1785430236120623000,0.2949348709297933,yes
KXITFWMATCH-26JUL30ALLPAW-ALL,608,74017.8018,14788.237799999999,0.8975000000000001,1785419110760345000,1785428142463661000,0.1997929881781493,yes
KXITFMATCH-26JUL30ZEUSMI-ZEU,364,73872.3184,6846.663799999999,0.961565934065934,1785416151590116000,1785423198210083000,0.09268240050254059,yes
KXETH15M-26JUL301145-45,3312,73232.08312,3341.6640599999996,0.6951292270531401,1785425402573862000,1785426295779251000,0.045631148502552656,yes
KXITFMATCH-26JUL30BRENES-NES,501,72816.387,40353.5796,0.9378443113772456,1785408355411334000,1785418832367976000,0.5541826677008843,yes
KXMLBGAME-26JUL302140BOSATH-BOS,1289,71807.7835,71318.7121,0.6231962761830876,1785402104331816000,1785430273627892000,0.99318915894403,yes
KXSCRSENS-26-DNOR,231,71688.3856,-56259.6124,0.6211255411255412,1785409775729217000,1785429713969694000,0.7847800160253574,no
KXITFWMATCH-26JUL30FRISAL-SAL,728,71452.4143,55158.8157,0.8874175824175824,1785409135648230000,1785415933411538000,0.7719657374824351,yes
KXITFMATCH-26JUL30SCRTOR-SCR,3010,71159.9742,20920.1344,0.1871328903654485,1785402287759596000,1785429382409317000,0.29398738033831384,yes
KXITFMATCH-26JUL30THASLA-SLA,1812,70652.0439,50709.7435,0.33048565121412804,1785408347436523000,1785415603380088000,0.7177392287726866,yes
KXKBOGAME-26JUL300530DOOSSG-DOO,3981,70320.3744,30183.3846,0.6352373775433309,1785402008978310000,1785416450023784000,0.4292267334685863,yes
KXITFMATCH-26JUL30BONBAR-BON,1110,69073.7971,50463.958099999996,0.6667477477477478,1785423972559260000,1785430275814718000,0.7305803389806697,yes
KXUECLGAME-26JUL30ATLVAD-VAD,706,68894.5324,22958.7372,0.8360764872521246,1785402454593148000,1785426725267302000,0.3332446915627807,yes
